h_family	h_genus	h_species	i_family	i_tribe	i_genus	i_species	h_family_id	h_genus_id	h_species_id	i_family_id	i_tribe_id	i_genus_id	i_species_id
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Slaterocoris	robustus	98	418	948	6296	6291	6200	2571
Asteraceae	Artemisia	cana	Miridae	Orthotylini	Slaterocoris	robustus	98	418	683	6296	6291	6200	2571
Rosaceae	Purshia	glandulosa	Miridae	Orthotylini	Slaterocoris	robustus	376	569	8650	6296	6291	6200	2571
Asteraceae	Chrysothamnus	viscidiflorus	Miridae	Orthotylini	Slaterocoris	robustus	98	451	963	6296	6291	6200	2571
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Slaterocoris	rubrofemoratus	98	418	948	6296	6291	6200	2572
Pinaceae	Pinus	contorta	Miridae	Orthotylini	Slaterocoris	robustus	62	554	707	6296	6291	6200	2571
Lamiaceae	Poliomintha	incana	Miridae	Orthotylini	Slaterocoris	ambrosiae	264	561	781	6296	6291	6200	2538
Asteraceae	Ambrosia	dumosa	Miridae	Orthotylini	Slaterocoris	ambrosiae	98	407	8633	6296	6291	6200	2538
Asteraceae	Achillea	millefolium	Miridae	Orthotylini	Slaterocoris	robustus	98	399	837	6296	6291	6200	2571
Asteraceae	Parthenium	incanum	Miridae	Orthotylini	Scalponotatus	albibasis	98	543	782	6296	6291	6190	2477
Asteraceae	Ambrosia	psilostachya	Miridae	Orthotylini	Slaterocoris	ambrosiae	98	407	1213	6296	6291	6200	2538
Asteraceae	Baccharis	halimifolia	Miridae	Orthotylini	Slaterocoris	pallipes	98	1160	1398	6296	6291	6200	2567
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Slaterocoris	apache	98	1622	4133	6296	6291	6200	2539
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Slaterocoris	croceipes	98	1622	4133	6296	6291	6200	2549
Asteraceae	Gutierrezia	sarothrae	Miridae	Orthotylini	Slaterocoris	flavipes	98	493	902	6296	6291	6200	2553
Asteraceae	Ericameria	nauseosa	Miridae	Orthotylini	Slaterocoris	pilosus	98	1622	4133	6296	6291	6200	2568
Asteraceae	Gutierrezia	sarothrae	Miridae	Orthotylini	Slaterocoris	fuscomarginalis	98	493	902	6296	6291	6200	2555
Asteraceae	Artemisia	tridentata	Miridae	Orthotylini	Slaterocoris	fuscomarginalis	98	418	948	6296	6291	6200	2555
Asteraceae	Gutierrezia	sarothrae	Miridae	Orthotylini	Slaterocoris	longipennis	98	493	902	6296	6291	6200	2560
