insect_species_id	numberOnListedHosts	numberOnAnyHost	Family	Genus	Species	Proportion	scientificName
51058	1	11	Pentatomidae	Thyanta	pallidovirens	0.090909091	Thyanta pallidovirens
66766	5	54	Miridae	Hyaliodes	vitripennis	0.092592593	Hyaliodes vitripennis
54562	1	10	Aphididae	Kaltenbachiella	ulmifusa	0.1	Kaltenbachiella ulmifusa
86729	1	9	Delphacidae	Aloha	dubantiae	0.111111111	Aloha dubantiae
1523	1	9	Miridae	Lopidea	salicis	0.111111111	Lopidea salicis
54409	3	21	Aphididae	Ericaphis	scoliopi	0.142857143	Ericaphis scoliopi
54114	8	51	Aphididae	Calaphis	betulaecolens	0.156862745	Calaphis betulaecolens
195	6	38	Miridae	Plagiognathus	modestus	0.157894737	Plagiognathus modestus
1484	1	6	Miridae	Lopidea	media	0.166666667	Lopidea media
62539	4	24	Diaspididae	Diaspis	digna	0.166666667	Diaspis digna
61740	8	43	Diaspididae	Acutaspis	morrisonorum	0.186046512	Acutaspis morrisonorum
2428	1	5	Miridae	Saileria	bella	0.2	Saileria bella
66761	1	5	Miridae	Notholopisca	californica	0.2	Notholopisca californica
70360	1	5	Miridae	Deraeocoris	nubilus	0.2	Deraeocoris nubilus
59481	2	10	Cicadellidae	Pasadenus	margaritae	0.2	Pasadenus margaritae
59637	1	4	Cicadellidae	Pasadenus	pasadenus	0.25	Pasadenus pasadenus
76625	1	4	Coreidae	Leptoglossus	zonatus	0.25	Leptoglossus zonatus
86799	1	4	Delphacidae	Nesothoe	eugeniae	0.25	Nesothoe eugeniae
51774	1	3	Cicadellidae	Eratoneura	gemina	0.333333333	Eratoneura gemina
40426	1	3	Delphacidae	Dictyophorodelphax	swezeyi	0.333333333	Dictyophorodelphax swezeyi
2417	1	3	Miridae	Reuteria	querci	0.333333333	Reuteria querci
67692	1	3	Miridae	Diphleps	unica	0.333333333	Diphleps unica
54419	2	6	Aphididae	Eriosoma	rileyi	0.333333333	Eriosoma rileyi
85935	2	6	Liviidae	Diclidophlebia	fremontiae	0.333333333	Diclidophlebia fremontiae
2368	2	6	Miridae	Pseudopsallus	anograe	0.333333333	Pseudopsallus anograe
676	2	6	Miridae	Brooksetta	incurva	0.333333333	Brooksetta incurva
2174	4	12	Miridae	Paraproba	capitata	0.333333333	Paraproba capitata
40642	8	21	Membracidae	Atymna	castaneae	0.380952381	Atymna castaneae
644	5	13	Miridae	Blepharidopterus	diaphanus	0.384615385	Blepharidopterus diaphanus
54345	2	5	Aphididae	Colopha	ulmicola	0.4	Colopha ulmicola
54647	2	4	Aphididae	Macrosiphum (Macrosiphum)	rudbeckiarum	0.5	Macrosiphum (Macrosiphum) rudbeckiarum
54414	16	31	Aphididae	Eriosoma	lanigerum	0.516129032	Eriosoma lanigerum
551	5	9	Miridae	Tuxedo	drakei	0.555555556	Tuxedo drakei
86730	4	7	Delphacidae	Aloha	flavocollaris	0.571428571	Aloha flavocollaris
55101	23	40	Aphididae	Tinocallis	ulmifolii	0.575	Tinocallis ulmifolii
722	3	5	Miridae	Ceratocapsus	blatchleyi	0.6	Ceratocapsus blatchleyi
34946	3	5	Miridae	Cyphopelta	modesta	0.6	Cyphopelta modesta
62201	9	15	Diaspididae	Chionaspis	americana	0.6	Chionaspis americana
62789	4	6	Diaspididae	Fissuraspis	ulmi	0.666666667	Fissuraspis ulmi
62735	4	6	Diaspididae	Fiorinia	externa	0.666666667	Fiorinia externa
54411	36	48	Aphididae	Eriosoma	americanum	0.75	Eriosoma americanum
78160	11	14	Aphididae	Myzocallis (Myzocallis)	castaneae	0.785714286	Myzocallis (Myzocallis) castaneae
84628	5	6	Membracidae	Parantonae	hispida hispida	0.833333333	Parantonae hispida hispida
79364	5	6	Tingidae	Corythucha	ulmi	0.833333333	Corythucha ulmi
198	28	33	Miridae	Plagiognathus	tsugae	0.848484848	Plagiognathus tsugae
69862	3	3	Aphididae	Myzocallis (Myzocallis)	ulmifoliae	1	Myzocallis (Myzocallis) ulmifoliae
67739	5	5	Miridae	Phytocoris	americanus	1	Phytocoris americanus
